WKT,Id
"MULTIPOLYGON (((-13474.5 264304.5, -13474.5 264285.5, -13455.5 264285.5, -13455.5 264304.5)))",mamoa
"MULTIPOLYGON (((-13374.5 259273.5, -13374.5 259259.5, -13360.5 259259.5, -13360.5 259273.5)))",mamoa
"MULTIPOLYGON (((-13373.5 258410.5, -13373.5 258395.5, -13360.5 258395.5, -13360.5 258410.5)))",mamoa
"MULTIPOLYGON (((-13846.5 252607.5, -13846.5 252591.5, -13828.5 252591.5, -13828.5 252607.5)))",mamoa
"MULTIPOLYGON (((-13601.5 250203.5, -13601.5 250175.5, -13570.5 250175.5, -13570.5 250203.5)))",mamoa
"MULTIPOLYGON (((-13727.5 248951.5, -13727.5 248932.5, -13708.5 248932.5, -13708.5 248951.5)))",mamoa
"MULTIPOLYGON (((-13873.5 245412.5, -13873.5 245397.5, -13856.5 245397.5, -13856.5 245412.5)))",mamoa
"MULTIPOLYGON (((-29368.5 266042.5, -29368.5 266026.5, -29360.5 266026.5, -29360.5 266042.5)))",mamoa
"MULTIPOLYGON (((-29493.5 265434.5, -29493.5 265420.5, -29479.5 265420.5, -29479.5 265434.5)))",mamoa
"MULTIPOLYGON (((-30000.5 262418.5, -30000.5 262405.5, -29987.5 262405.5, -29987.5 262418.5)))",mamoa
"MULTIPOLYGON (((-29981.5 261838.5, -29981.5 261824.5, -29969.5 261824.5, -29969.5 261838.5)))",mamoa
"MULTIPOLYGON (((-29753.5 262302.5, -29753.5 262288.5, -29738.5 262288.5, -29738.5 262302.5)))",mamoa
"MULTIPOLYGON (((-29970.5 261044.5, -29970.5 261025.5, -29947.5 261025.5, -29947.5 261044.5)))",mamoa
"MULTIPOLYGON (((-29917.5 249806.5, -29917.5 249782.5, -29887.5 249782.5, -29887.5 249806.5)))",mamoa
"MULTIPOLYGON (((-29953.5 249103.5, -29953.5 249071.5, -29921.5 249071.5, -29921.5 249103.5)))",mamoa
"MULTIPOLYGON (((-29964.5 249016.5, -29964.5 248990.5, -29935.5 248990.5, -29935.5 249016.5)))",mamoa
"MULTIPOLYGON (((-29999.5 248959.5, -29999.5 248950.5, -29989.5 248950.5, -29989.5 248959.5)))",mamoa
"MULTIPOLYGON (((-29989.5 248779.5, -29989.5 248754.5, -29965.5 248754.5, -29965.5 248779.5)))",mamoa
"MULTIPOLYGON (((-30000.5 248912.5, -30000.5 248879.5, -29975.5 248879.5, -29975.5 248912.5)))",mamoa
"MULTIPOLYGON (((-29936.5 241293.5, -29936.5 241282.5, -29923.5 241282.5, -29923.5 241293.5)))",mamoa
"MULTIPOLYGON (((-29849.5 240265.5, -29849.5 240247.5, -29832.5 240247.5, -29832.5 240265.5)))",mamoa
"MULTIPOLYGON (((-29936.5 239383.5, -29936.5 239370.5, -29924.5 239370.5, -29924.5 239383.5)))",mamoa
"MULTIPOLYGON (((-29666.5 229692.5, -29666.5 229675.5, -29647.5 229675.5, -29647.5 229692.5)))",mamoa
"MULTIPOLYGON (((-29772.5 228795.5, -29772.5 228776.5, -29751.5 228776.5, -29751.5 228795.5)))",mamoa
"MULTIPOLYGON (((-43437.5 259701.5, -43437.5 259689.5, -43422.5 259689.5, -43422.5 259701.5)))",mamoa
"MULTIPOLYGON (((-43427.5 259395.5, -43427.5 259373.5, -43408.5 259373.5, -43408.5 259395.5)))",mamoa
"MULTIPOLYGON (((-43604.5 257411.5, -43604.5 257379.5, -43570.5 257379.5, -43570.5 257411.5)))",mamoa
"MULTIPOLYGON (((-43390.5 256925.5, -43390.5 256909.5, -43374.5 256909.5, -43374.5 256925.5)))",mamoa
"MULTIPOLYGON (((-43877.5 255419.5, -43877.5 255401.5, -43859.5 255401.5, -43859.5 255419.5)))",mamoa
"MULTIPOLYGON (((-43715.5 229612.5, -43715.5 229599.5, -43691.5 229599.5, -43691.5 229612.5)))",mamoa
"MULTIPOLYGON (((-43762.5 223943.5, -43762.5 223930.5, -43747.5 223930.5, -43747.5 223943.5)))",mamoa
